speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,locationPrivate,subId
wesmea,Western Meadowlark,Sturnella neglecta,L2881552,Pt. Reyes--Drakes Corner,2024-04-12 08:30,1,38.0480911,-122.9728889,True,False,False,S168255688
gresca,Greater Scaup,Aythya marila,L30546819,"12806–12814 Sir Francis Drake Blvd, Inverness US-CA 38.09902, -122.85351",2024-04-11 19:29,32,38.099019,-122.85351,True,False,True,S168201502
wesgre,Western Grebe,Aechmophorus occidentalis,L30546819,"12806–12814 Sir Francis Drake Blvd, Inverness US-CA 38.09902, -122.85351",2024-04-11 19:29,1,38.099019,-122.85351,True,False,True,S168201502
belkin1,Belted Kingfisher,Megaceryle alcyon,L30546819,"12806–12814 Sir Francis Drake Blvd, Inverness US-CA 38.09902, -122.85351",2024-04-11 19:29,1,38.099019,-122.85351,True,False,True,S168201502
cangoo,Canada Goose,Branta canadensis,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
mallar3,Mallard,Anas platyrhynchos,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
sursco,Surf Scoter,Melanitta perspicillata,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,8,38.0268982,-122.8827238,True,False,False,S168244358
snoplo5,Snowy Plover,Anarhynchus nivosus,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,5,38.0268982,-122.8827238,True,False,False,S168244358
sander,Sanderling,Calidris alba,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,300,38.0268982,-122.8827238,True,False,False,S168244358
dunlin,Dunlin,Calidris alpina,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,1,38.0268982,-122.8827238,True,False,False,S168244358
wesgul,Western Gull,Larus occidentalis,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,4,38.0268982,-122.8827238,True,False,False,S168244358
comloo,Common Loon,Gavia immer,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
turvul,Turkey Vulture,Cathartes aura,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,4,38.0268982,-122.8827238,True,False,False,S168244358
osprey,Osprey,Pandion haliaetus,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
reshaw,Red-shouldered Hawk,Buteo lineatus,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,1,38.0268982,-122.8827238,True,False,False,S168244358
cowscj1,California Scrub-Jay,Aphelocoma californica,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,1,38.0268982,-122.8827238,True,False,False,S168244358
comrav,Common Raven,Corvus corax,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,1,38.0268982,-122.8827238,True,False,False,S168244358
vigswa,Violet-green Swallow,Tachycineta thalassina,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,10,38.0268982,-122.8827238,True,False,False,S168244358
wrenti,Wrentit,Chamaea fasciata,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,1,38.0268982,-122.8827238,True,False,False,S168244358
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
sonspa,Song Sparrow,Melospiza melodia,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,1,38.0268982,-122.8827238,True,False,False,S168244358
yerwar,Yellow-rumped Warbler,Setophaga coronata,L479690,Pt. Reyes--Limantour Beach Path,2024-04-11 17:55,2,38.0268982,-122.8827238,True,False,False,S168244358
annhum,Anna's Hummingbird,Calypte anna,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
whimbr,Whimbrel,Numenius phaeopus,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,2,38.0249882,-122.883153,True,False,False,S168161689
caster1,Caspian Tern,Hydroprogne caspia,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
greegr,Great Egret,Ardea alba,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
amecro,American Crow,Corvus brachyrhynchos,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,4,38.0249882,-122.883153,True,False,False,S168161689
rebnut,Red-breasted Nuthatch,Sitta canadensis,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
bewwre,Bewick's Wren,Thryomanes bewickii,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
wesblu,Western Bluebird,Sialia mexicana,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
houfin,House Finch,Haemorhous mexicanus,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
amegfi,American Goldfinch,Spinus tristis,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,1,38.0249882,-122.883153,True,False,False,S168161689
bnhcow,Brown-headed Cowbird,Molothrus ater,L590462,Pt. Reyes--Limantour Beach,2024-04-11 08:30,2,38.0249882,-122.883153,True,False,False,S168161689
calqua,California Quail,Callipepla californica,L30521484,"Abbotts Lagoon Trail, Inverness US-CA 38.12369, -122.93631",2024-04-10 16:28,3,38.123691,-122.936315,True,False,True,S168076079
rethaw,Red-tailed Hawk,Buteo jamaicensis,L30521484,"Abbotts Lagoon Trail, Inverness US-CA 38.12369, -122.93631",2024-04-10 16:28,2,38.123691,-122.936315,True,False,True,S168076079
